大類代碼,大類,細類代碼,細類
C,製造業,1309,其他皮革及毛皮製品製造業
C,製造業,1401,製材業
C,製造業,1402,合板及組合木材製造業
C,製造業,1403,建築用木製品製造業
C,製造業,1404,木質容器製造業
C,製造業,1409,其他木竹製品製造業
C,製造業,1511,紙漿製造業
C,製造業,1512,紙張製造業
C,製造業,1513,紙板製造業
C,製造業,1520,瓦楞紙板及紙容器製造業
C,製造業,1591,家庭及衛生用紙製造業
C,製造業,1599,未分類其他紙製品製造業
C,製造業,1601,印刷業
C,製造業,1602,印刷輔助業
C,製造業,1603,資料儲存媒體複製業
C,製造業,1700,石油及煤製品製造業
C,製造業,1810,化學原材料製造業
C,製造業,1830,肥料及氮化合物製造業
C,製造業,1841,塑膠原料製造業
C,製造業,1842,合成橡膠原料製造業
C,製造業,1850,人造纖維製造業
C,製造業,1910,農藥及環境用藥製造業
C,製造業,1920,塗料、染料及顏料製造業
C,製造業,1931,清潔用品製造業
C,製造業,1932,化粧品製造業
C,製造業,1990,未分類其他化學製品製造業
C,製造業,2001,原料藥製造業
C,製造業,2002,西藥製造業
C,製造業,2003,醫用生物製品製造業
C,製造業,2004,中藥製造業
C,製造業,2005,醫用化學製品製造業
C,製造業,2101,輪胎製造業
C,製造業,2102,工業用橡膠製品製造業
C,製造業,2109,其他橡膠製品製造業
C,製造業,2201,塑膠皮、板及管材製造業
C,製造業,2202,塑膠膜袋製造業
C,製造業,2203,塑膠外殼及配件製造業
C,製造業,2209,其他塑膠製品製造業
C,製造業,2311,平板玻璃及其製品製造業
C,製造業,2312,玻璃容器製造業
C,製造業,2313,玻璃纖維製造業
C,製造業,2319,其他玻璃及其製品製造業
C,製造業,2321,耐火材料製造業
C,製造業,2322,黏土建築材料製造業
C,製造業,2329,其他陶瓷製品製造業
C,製造業,2331,水泥製造業
C,製造業,2332,預拌混凝土製造業
C,製造業,2333,水泥及混凝土製品製造業
C,製造業,2340,石材製品製造業
C,製造業,2391,研磨材料製造業
C,製造業,2399,未分類其他非金屬礦物製品製造業
C,製造業,2411,鋼鐵冶鍊業
C,製造業,2412,鋼鐵鑄造業
C,製造業,2413,鋼鐵軋延及擠型業
C,製造業,2414,鋼鐵伸線業
C,製造業,2421,鍊鋁業
C,製造業,2422,鋁鑄造業
C,製造業,2423,鋁材軋延、擠型及伸線業
C,製造業,2431,鍊銅業
C,製造業,2432,銅鑄造業
C,製造業,2433,銅材軋延、擠型及伸線業
C,製造業,2491,其他基本金屬鑄造業
C,製造業,2499,未分類其他基本金屬製造業
C,製造業,2511,金屬刀具及手工具製造業
C,製造業,2512,金屬模具製造業
C,製造業,2521,金屬結構製造業
C,製造業,2522,金屬建築組件製造業
C,製造業,2531,鍋爐、金屬貯槽及壓力容器製造業
C,製造業,2539,其他金屬容器製造業
C,製造業,2541,金屬鍛造業
C,製造業,2542,粉末冶金業
C,製造業,2543,金屬熱處理業
C,製造業,2544,金屬表面處理業
C,製造業,2549,其他金屬加工處理業
C,製造業,2591,螺絲、螺帽及鉚釘製造業
C,製造業,2592,金屬彈簧及線製品製造業
C,製造業,2599,未分類其他金屬製品製造業
C,製造業,2611,積體電路製造業
C,製造業,2612,分離式元件製造業
C,製造業,2613,半導體封裝及測試業
C,製造業,2641,面板及其組件製造業
C,製造業,2642,發光二極體製造業
C,製造業,2643,太陽能電池製造業
C,製造業,2649,其他光電材料及元件製造業
C,製造業,2691,印刷電路板組件製造業
C,製造業,2699,未分類其他電子零組件製造業
C,製造業,2711,電腦製造業
C,製造業,2712,顯示器及終端機製造業
C,製造業,2719,其他電腦週邊設備製造業
C,製造業,2721,電話及手機製造業
C,製造業,2729,其他通訊傳播設備製造業
C,製造業,2751,量測、導航及控制設備製造業
C,製造業,2752,鐘錶製造業
C,製造業,2760,輻射及電子醫學設備製造業
C,製造業,2771,照相機製造業
C,製造業,2779,其他光學儀器及設備製造業
C,製造業,2810,發電、輸電及配電機械製造業
C,製造業,2820,電池製造業
C,製造業,2831,電線及電纜製造業
C,製造業,2832,配線器材製造業
C,製造業,2841,電燈泡及燈管製造業
C,製造業,2842,照明器具製造業
C,製造業,2851,家用空調器具製造業
C,製造業,2859,其他家用電器製造業
C,製造業,2890,其他電力設備及配備製造業
C,製造業,2911,冶金機械製造業
C,製造業,2912,金屬切削工具機製造業
C,製造業,2919,其他金屬加工用機械設備製造業
C,製造業,2921,農用及林用機械設備製造業
C,製造業,2922,採礦及營造用機械設備製造業
C,製造業,2923,食品、飲料及菸草製作用機械設備製造業
C,製造業,2924,紡織、成衣及皮革生產用機械設備製造業
C,製造業,2925,木工機械設備製造業
C,製造業,2926,化工機械設備製造業
C,製造業,2927,橡膠及塑膠加工用機械設備製造業
C,製造業,2928,電子及半導體生產用機械設備製造業
C,製造業,2929,未分類其他專用機械設備製造業
C,製造業,2931,原動機製造業
C,製造業,2932,流體傳動設備製造業
C,製造業,2933,泵、壓縮機、活栓及活閥製造業
C,製造業,2934,機械傳動設備製造業
C,製造業,2935,輸送機械設備製造業
C,製造業,2936,事務機械設備製造業
C,製造業,2937,污染防治設備製造業
C,製造業,2938,動力手工具製造業
C,製造業,2939,其他通用機械設備製造業
C,製造業,3010,汽車製造業
C,製造業,3020,車體製造業
C,製造業,3030,汽車零件製造業
C,製造業,3110,船舶及浮動設施製造業
C,製造業,3121,機車製造業
C,製造業,3122,機車零件製造業
C,製造業,3131,自行車製造業
C,製造業,3132,自行車零件製造業
C,製造業,3190,未分類其他運輸工具及其零件製造業
C,製造業,3211,木製家具製造業
C,製造業,3219,其他非金屬家具製造業
C,製造業,3220,金屬家具製造業
C,製造業,3311,體育用品製造業
C,製造業,3312,玩具及遊戲機製造業
C,製造業,3313,樂器製造業
C,製造業,3314,文具製造業
C,製造業,3321,眼鏡製造業
C,製造業,3329,其他醫療器材及用品製造業
C,製造業,3391,珠寶及金工製品製造業
C,製造業,3392,拉鍊及鈕扣製造業
C,製造業,3399,其他未分類製造業
C,製造業,3400,產業用機械設備維修及安裝業
D,電力及燃氣供應業,3510,電力供應業
D,電力及燃氣供應業,3520,氣體燃料供應業
D,電力及燃氣供應業,3530,蒸汽供應業
E,用水供應及污染整治業,3600,用水供應業
E,用水供應及污染整治業,3700,廢水及污水處理業
E,用水供應及污染整治業,3811,非有害廢棄物清除業
E,用水供應及污染整治業,3812,有害廢棄物清除業
E,用水供應及污染整治業,3821,非有害廢棄物處理業
E,用水供應及污染整治業,3822,有害廢棄物處理業
E,用水供應及污染整治業,3830,資源物回收處理業
E,用水供應及污染整治業,3900,污染整治業
F,營建工程業,4100,建築工程業
F,營建工程業,4210,道路工程業
